RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,RegionName,1/31/96,2/29/96,3/31/96,4/30/96,5/31/96,6/30/96,7/31/96,8/31/96,9/30/96,10/31/96,11/30/96,12/31/96,1/31/97,2/28/97,3/31/97,4/30/97,5/31/97,6/30/97,7/31/97,8/31/97,9/30/97,10/31/97,11/30/97,12/31/97,1/31/98,2/28/98,3/31/98,4/30/98,5/31/98,6/30/98,7/31/98,8/31/98,9/30/98,10/31/98,11/30/98,12/31/98,1/31/99,2/28/99,3/31/99,4/30/99,5/31/99,6/30/99,7/31/99,8/31/99,9/30/99,10/31/99,11/30/99,12/31/99,1/31/00,2/29/00,3/31/00,4/30/00,5/31/00,6/30/00,7/31/00,8/31/00,9/30/00,10/31/00,11/30/00,12/31/00,1/31/01,2/28/01,3/31/01,4/30/01,5/31/01,6/30/01,7/31/01,8/31/01,9/30/01,10/31/01,11/30/01,12/31/01,1/31/02,2/28/02,3/31/02,4/30/02,5/31/02,6/30/02,7/31/02,8/31/02,9/30/02,10/31/02,11/30/02,12/31/02,1/31/03,2/28/03,3/31/03,4/30/03,5/31/03,6/30/03,7/31/03,8/31/03,9/30/03,10/31/03,11/30/03,12/31/03,1/31/04,2/29/04,3/31/04,4/30/04,5/31/04,6/30/04,7/31/04,8/31/04,9/30/04,10/31/04,11/30/04,12/31/04,1/31/05,2/28/05,3/31/05,4/30/05,5/31/05,6/30/05,7/31/05,8/31/05,9/30/05,10/31/05,11/30/05,12/31/05,1/31/06,2/28/06,3/31/06,4/30/06,5/31/06,6/30/06,7/31/06,8/31/06,9/30/06,10/31/06,11/30/06,12/31/06,1/31/07,2/28/07,3/31/07,4/30/07,5/31/07,6/30/07,7/31/07,8/31/07,9/30/07,10/31/07,11/30/07,12/31/07,1/31/08,2/29/08,3/31/08,4/30/08,5/31/08,6/30/08,7/31/08,8/31/08,9/30/08,10/31/08,11/30/08,12/31/08,1/31/09,2/28/09,3/31/09,4/30/09,5/31/09,6/30/09,7/31/09,8/31/09,9/30/09,10/31/09,11/30/09,12/31/09,1/31/10,2/28/10,3/31/10,4/30/10,5/31/10,6/30/10,7/31/10,8/31/10,9/30/10,10/31/10,11/30/10,12/31/10,1/31/11,2/28/11,3/31/11,4/30/11,5/31/11,6/30/11,7/31/11,8/31/11,9/30/11,10/31/11,11/30/11,12/31/11,1/31/12,2/29/12,3/31/12,4/30/12,5/31/12,6/30/12,7/31/12,8/31/12,9/30/12,10/31/12,11/30/12,12/31/12,1/31/13,2/28/13,3/31/13,4/30/13,5/31/13,6/30/13,7/31/13,8/31/13,9/30/13,10/31/13,11/30/13,12/31/13,1/31/14,2/28/14,3/31/14,4/30/14,5/31/14,6/30/14,7/31/14,8/31/14,9/30/14,10/31/14,11/30/14,12/31/14,1/31/15,2/28/15,3/31/15,4/30/15,5/31/15,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20
271026,348,Old Brooklyn,Neighborhood,OH,OH,Cleveland,Cleveland-Elyria,Cuyahoga County,Old Brooklyn,79828,79996,80168,80466,80702,80880,81035,81259,81601,82029,82465,82754,82947,83066,83264,83527,83874,84204,84560,84852,85089,85262,85448,85821,86244,86717,86968,87261,87599,88134,88694,89065,89211,89209,89301,89535,89980,90434,90965,91329,91525,91631,91701,92214,92839,93637,94080,94315,94446,94666,95066,95412,96044,96647,97255,97338,97551,97735,98245,98600,98935,99238,99462,99783,99957,100165,100410,100871,101029,101154,101138,101449,101790,102066,102261,102434,102633,102734,102857,102872,103204,103408,103816,104094,104419,104644,104956,105217,105498,105791,106023,106493,106897,107482,107782,108121,108430,108829,109091,109440,109681,110127,110401,110703,110912,111167,111495,111656,111778,111997,112341,112729,113073,113236,113911,114409,114902,114922,115221,115718,116113,116110,116082,115918,115877,115709,115255,114640,113732,113129,112271,111371,110479,109991,109006,108235,107350,106901,105782,104825,104416,104284,103838,103171,102597,102017,101816,101336,100774,99602,98638,97500,96094,94526,93322,92120,90826,89217,87912,86514,85254,84051,83565,83383,83394,83337,83036,82849,82728,82956,82821,82843,83129,83304,82678,81447,80154,78900,77890,76909,75847,74343,73101,72135,71180,70679,70440,70317,69835,69375,68960,68596,68041,67770,67435,66971,66205,65031,64116,63761,63692,63478,63278,63091,63530,64176,64614,64707,64319,64491,64767,65049,65532,65964,66280,66177,65666,64889,64430,64294,64901,65303,65491,65336,64784,64521,64084,64267,64418,65001,65196,65570,65719,65951,65920,65989,66252,66475,67074,67638,68653,69106,69555,69435,69576,69794,70532,71327,72045,72694,73190,73553,73449,73218,73533,74394,75617,76459,77110,77516,78136,78927,79680,80249,80687,82118,83501,85032,85459,86031,86247,86537,86968,87573,88631,89414,90196,90366,90500,90255,90778,91268,92229,92790,93177,93438,93610,94198,95046,96001,96998,98234,99474,100898,102320,104283,106471
271005,602,Kamm's Corner,Neighborhood,OH,OH,Cleveland,Cleveland-Elyria,Cuyahoga County,Kamm's Corner,97301,97318,97369,97425,97407,97437,97523,97723,97837,97994,98168,98523,98861,99258,99589,99936,100530,101103,101661,102058,102541,102973,103254,103507,103851,104214,104525,104957,105371,105774,106244,106684,107354,107957,108924,109442,110075,110513,111124,111620,111758,112016,112062,112518,112709,113260,113625,114349,114649,115057,115407,115757,116577,117190,118042,118221,118651,118855,118984,118948,119056,119419,119873,120308,120441,120599,120696,120963,121109,121152,121456,121827,122464,122783,122982,123103,123346,123777,124122,124715,125136,125628,125960,126280,126540,126725,127026,127518,128121,128635,129190,129890,130796,131885,132474,133044,133235,133732,134030,134263,134370,134474,134664,134491,134237,133769,133930,134330,134945,135235,135468,135576,135782,135903,136080,136440,136869,137297,137712,137912,138055,138141,138369,138526,137952,137412,136907,136466,135658,134892,134204,133250,132279,131556,130798,130075,129866,129604,128927,127956,127630,127368,126556,125806,125257,124807,124260,123306,122259,120983,120208,119640,118778,117762,116968,116598,115877,114815,113923,113677,114180,115037,115698,115786,115540,115272,115274,115012,114984,115018,114831,114801,113959,113285,111907,111345,110705,110258,109345,108367,107555,106942,106565,105742,104842,103691,102842,101612,100677,99808,99151,98724,98121,97446,96461,95579,95139,94690,94710,94996,95851,96466,97288,97621,98126,99096,100288,101683,102553,103462,104089,104512,104341,104323,104026,104108,103797,102635,101924,101073,100815,100531,100526,100798,101143,101576,101951,102319,102922,104231,104926,105574,105819,106388,107006,107576,107831,107981,108433,109268,110335,111045,111705,112061,112900,113770,114815,115529,116391,117229,118311,119191,119715,119741,120555,122225,124476,125882,126526,127173,128393,129840,130752,131361,132102,134466,136154,137464,136697,136696,136726,137105,137433,138069,139554,141001,142050,141885,141589,140891,141796,142534,144058,144809,145356,145705,145573,145746,146283,147123,148282,149828,151065,152305,153159,154582,156188
274133,823,Jefferson,Neighborhood,OH,OH,Cleveland,Cleveland-Elyria,Cuyahoga County,Jefferson,63292,63281,63273,63351,63427,63545,63578,63663,63799,63960,64182,64413,64747,65059,65397,65679,66081,66502,67016,67454,67860,68302,68688,69080,69332,69687,69991,70240,70401,70490,70708,70926,71196,71387,71625,71860,72102,72297,72715,73168,73527,73932,74322,74958,75438,75973,76368,76838,77401,77995,78318,78612,79060,79566,79917,79960,80158,80349,80686,80848,80997,81154,81494,81883,82258,82427,82635,82980,83338,83633,83732,83849,84022,84117,84182,84095,83916,83911,83979,84148,84210,84386,84569,84870,84963,85074,84954,85029,85198,85384,85485,85451,85579,85603,85830,86002,86358,86739,87430,87992,88509,88840,89311,89774,89923,90173,90362,90733,91016,91378,91712,91960,92180,92483,92760,93062,93581,94016,94615,94906,95103,94849,94681,94657,94471,94201,93859,93608,93411,93325,93086,92959,92702,92550,91533,90637,90029,89775,89200,88621,87976,87248,86216,85019,83892,82941,82643,82168,81464,80504,79916,79354,78648,77473,76381,75347,74807,74263,73764,72965,72309,71667,71217,70464,69886,69691,69679,69736,69624,69833,69969,70262,70285,70152,69268,68290,67112,66201,65077,63854,62572,61246,60069,58639,57394,56234,55891,55481,54896,54090,53764,53957,53791,53160,52324,52251,52224,52227,51593,51788,52711,53374,53775,53530,54085,55033,56116,56711,56930,57013,57345,57530,57191,57565,57498,57798,57276,56712,56165,55665,55843,56374,56962,56969,57082,57003,57199,57314,57471,57770,57716,57748,57396,56992,56869,56886,56818,56187,55718,55237,55269,55145,55370,55375,55792,56186,56499,56675,56893,57385,58043,58970,59745,60365,61138,62427,63584,64500,65101,66045,66931,68096,68923,69710,70204,71383,72168,72782,72775,73189,73457,73555,74302,75277,76732,77471,78195,78417,79061,79401,80433,81394,82702,83555,83686,83788,83818,84335,85105,86014,86805,87870,88778,89643,90475,91803,93471
275109,832,Bellaire-Puritas,Neighborhood,OH,OH,Cleveland,Cleveland-Elyria,Cuyahoga County,Puritas-Longmead,56585,56645,22222223:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:3bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbv          2 PM3:32 PM3:32 PM3:32 PM3:3vvvvvvvvvvvvvvvvvvvvvvvvvvvvvv        b                     bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb2 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PM3:32 PMcvvvvvvvvvvvvvv,56620,56594,56670,56789,56832,56927,57002,57215,57364,57612,57818,58123,58381,58812,59165,59376,59617,59755,60196,60390,60727,60792,60874,60910,61177,61322,61409,61662,62121,62647,62690,62878,63060,63495,63875,64304,64572,64703,64890,65153,65380,65694,66181,66657,67044,67498,68076,68585,68830,69262,69655,70096,70439,70835,71367,71828,72199,72285,72386,72608,73157,73765,74221,74457,74386,74251,74007,74135,74332,74831,75054,75239,75219,75062,75167,75464,76133,76618,77085,77000,77130,77114,77426,77580,77764,77917,78024,78000,77906,77974,78018,78523,78876,79337,79509,79801,80150,80675,80957,81361,81649,82059,82459,82594,82562,82455,82569,82857,83099,83285,83749,84088,84478,84520,84639,84890,85452,85982,86312,86381,86439,86194,85904,85734,85653,85581,85416,85288,85016,84629,84014,82947,81846,81249,80738,80044,79316,78875,78392,77537,76643,75555,74776,74340,74173,73460,72233,70957,69607,68337,67141,66130,64816,63952,63057,62520,61639,61193,61164,61285,61397,61420,61569,61552,61876,61950,62516,62692,62793,62287,61832,61183,60524,59466,58456,57939,57336,56820,55639,54844,54089,53824,52977,52447,51531,50969,50313,49629,49392,48776,48402,47538,46984,46389,46112,45678,45835,46294,46784,47236,46974,47385,47640,48304,48824,49012,49647,50401,51416,51826,51852,51425,51258,50771,50139,49538,48907,48888,48662,48402,47644,47107,46816,46732,47074,47277,48061,48318,48787,48929,48710,48529,48452,48819,49286,49746,49629,49821,49646,50063,50293,50768,51686,52629,53488,53527,53433,53593,54313,54886,55614,56145,57058,57571,57844,57685,57696,58112,58957,59590,60053,60474,61133,61881,62154,62655,63328,64450,65395,66744,67953,69305,70076,70621,70785,71181,71615,72477,73130,73949,74299,74207,74089,74143,74713,75571,76656,77615,78825,79740,80890,81902,83536,85417
271057,858,West Boulevard,Neighborhood,OH,OH,Cleveland,Cleveland-Elyria,Cuyahoga County,West Boulevard,68947,68892,68929,69018,69078,69237,69325,69486,69602,69533,69409,69184,69242,69543,69864,70095,70498,70697,71031,71200,71625,72397,73277,74376,75035,75598,76043,76596,76923,77529,78264,79203,79732,80048,80300,80560,81047,81128,81284,81418,81878,82175,82243,82331,82856,83682,84665,85360,85783,86680,87573,88430,88637,89038,89446,89971,90096,90133,90276,90713,91346,91711,92041,92255,92904,93401,94265,94803,95419,95870,95955,95859,95535,95370,95364,95545,95678,95705,95069,94751,94537,94494,94525,94505,94703,94675,94651,94777,94831,94925,95316,95497,95771,95858,96231,96944,97644,98535,98984,99262,99807,100626,101530,102341,102917,103585,103998,104184,104495,104715,105134,105473,105421,105340,105095,105292,105840,106629,107417,107895,107696,107504,107529,107418,107027,106317,106047,105846,104897,103409,101966,101337,101676,101640,100883,99706,99335,99166,98195,96572,95328,94912,94191,92764,90538,88444,87062,86124,85032,83486,82334,81281,80163,78064,75938,74057,72674,71698,70746,70169,69384,68962,68306,67784,67546,68019,68600,68884,68885,69148,69079,68518,67600,66861,66565,66347,65568,64503,63395,62157,60550,58708,57752,57132,56327,54914,53577,51973,50419,48518,47320,47118,47593,47733,47039,46076,45685,45486,44797,44269,44320,44860,45111,44624,44179,43819,43609,43711,43866,44265,44640,45382,45837,46456,46564,46876,46503,46193,45825,45105,44193,43588,44089,44387,44818,44430,44525,44176,44265,44298,44395,44714,45258,45434,44874,44076,43250,43281,43030,43214,43550,44196,45078,45703,46083,46499,46777,47306,47797,47940,48405,48858,49213,49326,49690,50680,51819,52831,53627,54397,54932,55835,56573,57331,58216,59507,60359,60357,60207,60224,61047,61550,62501,62918,63675,64381,64728,64965,65163,65807,66478,67484,68670,69773,70213,70663,70998,71602,72460,73245,74251,75257,76320,77077,77301,77826,78761
271041,916,South Broadway,Neighborhood,OH,OH,Cleveland,Cleveland-Elyria,Cuyahoga County,South Broadway,32021,31861,31778,31574,31442,31287,31115,30909,30695,30518,30438,30468,30451,30440,30313,30342,30316,30332,30304,30377,30566,30791,30841,30703,30630,30726,30948,31060,31136,31319,31682,32088,32389,32585,32872,33258,33731,34061,34518,34801,35277,35563,35913,36077,36229,36477,36888,37421,37876,38277,38220,38366,38467,38877,39026,39242,39668,40031,40310,40397,40648,40658,41100,41420,42051,42209,42518,42766,42984,43203,43229,43326,43131,43288,43182,43114,42647,42372,42250,42244,42220,42091,41824,41532,41363,41569,41908,42351,42606,43070,43359,43675,43640,43590,43952,44512,45366,45391,45378,45124,45324,45287,45187,45030,45334,45876,46374,46699,46748,47217,47622,48162,48513,48983,49644,50285,50721,50870,50821,50823,50899,50928,51090,51211,51435,51537,51768,51981,52113,52103,51752,51424,51081,50903,50357,49697,49014,48457,47648,46881,46407,46460,47044,47293,47227,46601,45859,44705,42973,41266,39879,38918,37845,36580,35239,34229,33487,32977,32702,32834,33322,33682,33642,32958,32271,31814,31389,30763,29977,29614,29560,29804,30184,30630,31216,31964,32783,33170,33643,34226,35014,35463,35348,34807,34039,33542,33125,33225,33130,33152,32520,31893,31204,30756,30900,31381,32105,32518,32844,32629,32405,32315,32804,33203,33661,33889,33629,33039,32321,31842,31655,31689,31832,31817,32001,32334,32486,32011,31718,31486,31681,31711,31370,30785,30170,30005,29728,29494,29316,29667,29890,30126,29720,29440,29413,29906,30509,30561,30449,30364,30647,31161,31471,31537,31770,32132,32612,32616,32237,32129,32353,32841,32912,32388,31891,31728,31931,31987,31634,31274,31424,31712,31961,31497,31263,31548,32618,33567,34310,34752,35295,36078,37054,38216,38807,39461,39597,40021,39919,40177,39890,40032,40096,40292,39631,38725,38164,38180,38555,38597,38646,38497,38844,39151,39648,40056,41016
271018,973,Mt Pleasant,Neighborhood,OH,OH,Cleveland,Cleveland-Elyria,Cuyahoga County,Mt Pleasant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32093,32469,32607,32898,32696,32388,32072,32046,32226,32351,32391,32221,32092,31713,31423,31055,31252,31501,31791,31733,31393,31122,30996,31249,31494,31662,31827,32096,32537,33082,33523,33667,33672,33621,33538,33470,33344,33472,33388,33663,33932,34384,34658,35108,35638,36275,36920,37483,38080,38560,39201,39567,39857,39979,40301
200981,1043,Glenville,Neighborhood,OH,OH,Cleveland,Cleveland-Elyria,Cuyahoga County,Glenville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33402,33324,33000,32455,31738,31328,30941,30679,30335,30096,30024,30196,30654,30910,30930,31019,31489,31706,31824,31717,32092,32198,32108,31605,30790,30048,29905,29738,29473,29087,28913,28861,28208,27775,27332,27150,26855,26437,25897,25394,24984,24599,24244,23929,23883,23873,23908,23778,23830,24215,24798,25158,24928,24662,24369,24480,24735,25143,25440,25298,24749,24095,23618,23496,23583,23814,24051,24308,24624,24722,24896,25209,25874,26358,26696,26983,27438,27825,28265,28531,28681,28973,29289,29790,30218,30842
271020,1075,North Collinwood,Neighborhood,OH,OH,Cleveland,Cleveland-Elyria,Cuyahoga County,North Collinwood,50930,50997,51115,51327,51658,51961,52229,52494,52733,52882,52884,52976,53110,53344,53454,53639,53745,53939,54160,54303,54423,54665,55041,55352,55561,55681,55874,56045,56059,56011,55944,56024,56162,56352,56688,56886,57160,57507,58017,58325,58574,58752,59080,59422,59871,60163,60333,60534,60689,60756,60770,61018,61579,62117,62525,62628,62673,62759,62963,63287,63596,63939,64250,64514,64674,64868,65218,65821,66445,66811,66897,66748,66806,67001,67234,67358,67376,67370,67258,67107,67027,67281,67717,68218,68479,68606,68688,68934,69203,69523,69658,69715,69606,69435,69361,69493,69740,69868,69979,69935,70165,70201,70471,70720,71133,71621,72028,72390,72681,73150,73577,74272,74483,75147,75708,76567,77291,77862,78468,78887,79101,79234,79343,79184,78933,78409,78196,77816,77274,76758,76148,75681,75349,75106,74717,74252,74270,74357,73828,73141,72933,73181,73344,72988,72623,71950,71366,70548,69197,67846,67017,66474,65565,63806,62262,61136,60649,60043,60117,60132,61099,61659,62310,62485,62347,62497,62223,62231,61511,61347,60451,60151,59161,58564,57067,55655,54585,53815,53404,52278,51043,49912,48962,48135,47147,46247,45697,45102,44572,44164,43767,43738,43635,43165,42363,41519,40969,40291,39744,39361,39152,38722,38223,38112,38643,39493,40610,41208,41338,41504,41839,42670,43279,43690,43986,43769,43091,42162,41526,41304,41546,41656,41809,41823,42109,42872,43830,44844,45826,46642,47124,47719,48084,48637,48901,48928,48906,48372,48015,47630,47743,47981,48228,47891,47812,47797,48415,48924,49163,49351,49041,49066,48309,47625,46937,47277,47944,48844,49051,49194,48988,49308,49803,50136,50826,51923,53244,53970,53859,53685,53527,53684,54319,55075,56079,56925,57895,58747,59602,60653,62003,63136,64119,64781,65400,65804,66112,66535,66848,67059,67182,67292,67572,68021,68760,69608,70314
274289,1123,Lee Miles,Neighborhood,OH,OH,Cleveland,Cleveland-Elyria,Cuyahoga County,Lee Miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44500,44152,44158,43923,43625,42935,42010,41187,40376,40035,40045,40108,40061,39648,38981,38382,38361,39020,39927,40913,42100,42899,43148,43285,43422,44365,45442,46318,46474,46089,46135,45723,45265,44555,44032,43581,43491,43338,43048,43003,42861,43304,43233,43727,43836,43766,43814,44061,44438,44887,44998,45025,44714,44407,44494,45025,45927,47187,48292,49579,50422,50935,51571,52048,53305,54547,56080,56856,56904,56282,55701,54999,54820,55161,56227,57217,58188,58753,58673,58484,58968,60797,62412,63773,64464,64594,63633,62926,62424,62401,62224,62640,63066,63174,63168,63718,64247,64703,65181,65842,66373,66968,67984,68829,69575,70140,71045,71791,72935,74459,76519,78474
