Neighborhood,Population
Old Brooklyn,32100
Kamm's Corner,20510
Mt. Pleasant,16810
North Collinwood,16760
South Broadway,16620
Jefferson,16550
West Boulevard,16020
Glenville,15940
Bellaire-Puritas,15860
Detroit Shoreway,14330
Lee Miles,13820
Hough,12810
Central,12740
Buckeye-Shaker,12470
Corlett,11580
Clark-Fulton,11130
South Collinwood,10550
Union Miles Park,10270
Cudell,9610
Ohio City,9210
Downtown,9100
Woodland Hills,8590
Brooklyn Centre,8210
University District,7910
Edgewater,7630
Stockyards,7360
St. Clair-Superior,7200
Tremont,6910
North Broadway,5610
Euclid-Green,5530
Fairfax,5170
Goodrich-Kirtland Park,4100
Kinsman,4020
Riverside,2450
Industrial Valley,890
Broadway-Slavic Village,22230
Union-Miles,21850
