,Neighborhood,Year,Eviction Filing Count
0,Bellaire-Puritas,2011,262
1,Bellaire-Puritas,2012,240
2,Bellaire-Puritas,2013,244
3,Bellaire-Puritas,2014,282
4,Bellaire-Puritas,2015,149
5,Bellaire-Puritas,2016,224
6,Bellaire-Puritas,2017,233
7,Bellaire-Puritas,2018,178
8,Bellaire-Puritas,2019,169
9,Bellaire-Puritas,2020,73
10,Broadway-Slavic Village,2011,646
11,Broadway-Slavic Village,2012,689
12,Broadway-Slavic Village,2013,673
13,Broadway-Slavic Village,2014,642
14,Broadway-Slavic Village,2015,319
15,Broadway-Slavic Village,2016,574
16,Broadway-Slavic Village,2017,497
17,Broadway-Slavic Village,2018,514
18,Broadway-Slavic Village,2019,563
19,Broadway-Slavic Village,2020,236
20,Brooklyn Centre,2011,272
21,Brooklyn Centre,2012,236
22,Brooklyn Centre,2013,219
23,Brooklyn Centre,2014,249
24,Brooklyn Centre,2015,138
25,Brooklyn Centre,2016,302
26,Brooklyn Centre,2017,275
27,Brooklyn Centre,2018,255
28,Brooklyn Centre,2019,227
29,Brooklyn Centre,2020,117
30,Buckeye-Shaker,2011,461
31,Buckeye-Shaker,2012,507
32,Buckeye-Shaker,2013,378
33,Buckeye-Shaker,2014,354
34,Buckeye-Shaker,2015,218
35,Buckeye-Shaker,2016,356
36,Buckeye-Shaker,2017,325
37,Buckeye-Shaker,2018,317
38,Buckeye-Shaker,2019,324
39,Buckeye-Shaker,2020,158
40,Central,2011,1035
41,Central,2012,969
42,Central,2013,789
43,Central,2014,839
44,Central,2015,547
45,Central,2016,616
46,Central,2017,436
47,Central,2018,286
48,Central,2019,223
49,Central,2020,84
50,Clark-Fulton,2011,184
51,Clark-Fulton,2012,202
52,Clark-Fulton,2013,197
53,Clark-Fulton,2014,218
54,Clark-Fulton,2015,136
55,Clark-Fulton,2016,218
56,Clark-Fulton,2017,186
57,Clark-Fulton,2018,166
58,Clark-Fulton,2019,164
59,Clark-Fulton,2020,80
60,Cudell,2011,405
61,Cudell,2012,433
62,Cudell,2013,369
63,Cudell,2014,333
64,Cudell,2015,194
65,Cudell,2016,279
66,Cudell,2017,276
67,Cudell,2018,315
68,Cudell,2019,336
69,Cudell,2020,142
70,Cuyahoga Valley,2011,4
71,Cuyahoga Valley,2012,11
72,Cuyahoga Valley,2013,7
73,Cuyahoga Valley,2014,9
74,Cuyahoga Valley,2015,7
75,Cuyahoga Valley,2016,14
76,Cuyahoga Valley,2017,10
77,Cuyahoga Valley,2018,6
78,Cuyahoga Valley,2019,7
79,Cuyahoga Valley,2020,1
80,Detroit Shoreway,2011,355
81,Detroit Shoreway,2012,319
82,Detroit Shoreway,2013,297
83,Detroit Shoreway,2014,289
84,Detroit Shoreway,2015,148
85,Detroit Shoreway,2016,297
86,Detroit Shoreway,2017,260
87,Detroit Shoreway,2018,184
88,Detroit Shoreway,2019,176
89,Detroit Shoreway,2020,79
90,Downtown,2011,280
91,Downtown,2012,282
92,Downtown,2013,309
93,Downtown,2014,290
94,Downtown,2015,115
95,Downtown,2016,305
96,Downtown,2017,224
97,Downtown,2018,232
98,Downtown,2019,269
99,Downtown,2020,126
100,Edgewater,2011,226
101,Edgewater,2012,270
102,Edgewater,2013,212
103,Edgewater,2014,220
104,Edgewater,2015,126
105,Edgewater,2016,166
106,Edgewater,2017,175
107,Edgewater,2018,144
108,Edgewater,2019,101
109,Edgewater,2020,44
110,Euclid-Green,2011,167
111,Euclid-Green,2012,152
112,Euclid-Green,2013,160
113,Euclid-Green,2014,132
114,Euclid-Green,2015,85
115,Euclid-Green,2016,137
116,Euclid-Green,2017,127
117,Euclid-Green,2018,121
118,Euclid-Green,2019,98
119,Euclid-Green,2020,60
120,Fairfax,2011,123
121,Fairfax,2012,115
122,Fairfax,2013,146
123,Fairfax,2014,101
124,Fairfax,2015,66
125,Fairfax,2016,108
126,Fairfax,2017,123
127,Fairfax,2018,130
128,Fairfax,2019,106
129,Fairfax,2020,68
130,Glenville,2011,615
